id,date,builtin,call,communication,entertainment,finance,game,office,other,screen,sms,social,travel,unknown,utilities,weather,mood
AS14.05,2014-03-28,0.71175,0.07692,0.68924,1.0,0.0,0.0,0.0,0.23496,0.3116,0.0,0.7533,0.0,0.0,0.46632,0.0,0.57647
AS14.05,2014-03-29,0.76465,0.23077,0.36962,0.45205,0.0,0.0,0.0,0.18107,0.1085,0.11111,0.0,0.0,0.63312,0.62419,0.0,0.62353
AS14.05,2014-03-30,0.65445,0.30769,0.63304,0.46155,0.0,0.0,0.0,0.26817,0.25207,0.0,0.0,0.0,0.57224,0.73689,0.0,0.57647
AS14.05,2014-03-31,0.5848,0.15385,0.0,0.73944,0.0,0.0,0.0,0.2587,0.0,0.0,0.0,0.0,1.0,0.67871,0.0,0.71765
AS14.05,2014-04-01,0.76095,0.0,0.57955,0.66807,0.0,0.0,0.0,0.10461,0.29711,0.0,0.75751,0.0,0.71728,0.48372,0.0,0.76471
AS14.05,2014-04-02,0.74016,0.0,0.4057,0.59212,0.0,0.0,0.0,0.23735,0.18409,0.0,0.73905,0.0,0.9326,0.38789,0.0,0.76471
AS14.05,2014-04-03,0.8144,0.0,0.60843,0.38263,0.0,0.0,0.0,0.1666,0.29271,0.0,0.83369,0.0,0.0,0.0,0.0,0.81176
AS14.05,2014-04-04,0.91413,0.23077,0.89211,0.40011,0.0,0.0,0.0,0.44727,0.69437,0.0,0.7054,0.0,0.98901,0.50872,0.0,0.76471
AS14.05,2014-04-05,0.69926,0.07692,0.30293,0.35037,0.0,0.0,0.0,0.61574,0.10694,0.0,0.0,0.0,0.8607,0.0,0.0,0.88235
AS14.05,2014-04-06,0.675,0.15385,0.67289,0.6604,0.0,0.0,0.0,0.09356,0.264,0.0,0.25138,0.0,0.0,0.69346,0.0,0.71765
AS14.05,2014-04-07,0.76401,0.07692,0.71317,0.45413,0.0,0.0,0.0,0.13837,0.32892,0.0,0.0,0.0,0.69494,0.56434,0.0,0.70588
AS14.05,2014-04-08,0.69598,0.07692,0.34255,0.8399,0.0,0.0,0.0,0.71131,0.10727,0.0,0.0,0.0,0.3758,0.0,0.0,0.70588
AS14.05,2014-04-09,0.77105,0.07692,0.87481,0.67103,0.0,0.0,0.0,0.30383,0.58551,0.0,0.2705,0.0,0.80733,0.25982,0.0,0.76471
AS14.05,2014-04-10,0.76881,0.07692,0.47433,0.65845,0.0,0.0,0.0,1.0,0.18468,0.0,0.71581,0.0,0.0,0.26037,0.0,0.81176
